,,,,,
12/20/2021,21-0081,,,,
12/21/2021,20-0045,,,,
12/21/2021,20-0044,,,,
1/3/2022,19-0197,,,,
1/3/2022,21-0014,,,,
1/4/2022,19-0058,,,,
1/4/2022,15-0004,,,,
1/4/2022,19-0060,,,,
1/4/2022,21-0091,,,,
1/4/2022,17-0177,,,,
1/5/2022,17-0053,,,,
1/5/2022,17-0065,,,,
1/6/2022,20-0059,,,,
1/6/2022,20-0056,,,,
1/6/2022,20-0058,,,,
1/6/2022,20-0057,,,,
1/7/2022,18-0032,,,,
1/7/2022,18-0020,,,,
1/10/2022,19-0119,,,,
1/10/2022,18-0224,,,,
1/10/2022,17-0009,,,,
1/10/2022,17-0008,,,,
1/10/2022,17-0021,,,,
1/11/2022,20-0055,,,,
1/11/2022,19-0028,,,,
1/11/2022,20-0106,,,,
1/11/2022,20-0107,,,,
1/12/2022,17-0189,,,,
1/13/2022,21-0092,,,,
1/14/2022,19-0189,,,,
1/14/2022,19-0205,,,,
1/18/2022,20-0103,,,,
1/19/2022,18-0157,,,,
1/19/2022,19-0211,,,,
1/19/2022,19-0212,,,,
1/20/2022,19-0134,,,,
1/20/2022,18-0021,,,,
1/24/2022,17-0073,,,,
1/24/2022,18-0112,,,,
1/24/2022,18-0111,,,,
1/24/2022,19-0089,,,,
1/25/2022,20-0109,,,,
1/25/2022,18-0218,,,,
1/25/2022,19-0135,,,,
1/26/2022,18-0051,,,,
1/27/2022,14-0190,,,,
1/28/2022,TPR 15-0019,,,,
1/31/2022,20-0003,,,,
1/31/2022,21-0038,,,,
1/31/2022,21-0037,,,,
1/31/2022,21-0039,,,,
2/1/2022,19-0208,,,,
2/2/2022,19-0201,,,,
2/3/2022,18-0080,,,,
2/3/2022,21-0040,,,,
2/3/2022,21-0041,,,,
2/4/2022,19-0083,,,,
2/4/2022,17-0164,,,,
2/4/2022,18-0120,,,,
2/7/2022,21-0025,,,,
2/8/2022,11-0029,,,,
2/8/2022,20-0120,,,,
2/8/2022,15-0020,,,,
2/10/2022,14-0071,,,,
2/10/2022,14-0070,,,,
2/14/2022,21-0027,,,,
2/14/2022,20-0111,,,,
2/15/2022,19-0215,,,,
2/15/2022,17-0144,,,,
2/16/2022,14-0050,,,,
2/17/2022,13-0082,,,,
2/17/2022,15-0031,,,,
2/17/2022,15-0030,,,,
2/17/2022,15-0039,,,,
2/17/2022,15-0032,,,,
2/17/2022,20-0012,,,,
2/18/2022,21-0111,,,,
2/22/2022,17-0161,,,,
2/22/2022,16-0005,,,,
2/25/2022,19-0157,,,,
2/28/2022,21-0026,,,,
2/28/2022,20-0091,,,,
2/28/2022,20-0092,,,,
3/2/2022,18-0081,,,,
3/4/2022,19-0020,,,,
3/4/2022,19-0019,,,,
3/7/2022,21-0061,,,,
3/7/2022,21-0062,,,,
3/8/2022,21-0033,,,,
3/8/2022,20-0063,,,,
3/8/2022,16-0111,,,,
3/10/2022,20-0076,,,,
3/11/2022,17-0230,,,,
3/14/2022,18-0063,,,,
3/14/2022,18-0067,,,,
3/16/2022,19-0084,,,,
3/18/2022,17-0150,,,,
3/18/2022,17-0149,,,,
3/18/2022,17-0225,,,,
3/21/2022,20-0011,,,,
3/21/2022,17-0069,,,,
3/22/2022,15-0080,,,,
3/22/2022,15-0070,,,,
3/22/2022,21-0121,,,,
3/22/2022,19-0073,,,,
3/23/2022,16-0212,,,,
3/23/2022,19-0226,,,,
3/24/2022,19-0203,,,,
3/24/2022,19-0225,,,,
3/28/2022,19-0033,,,,
3/28/2022,17-0141,,,,
3/29/2022,20-0129,,,,
4/4/2022,19-0128,,,,
4/4/2022,17-0040,,,,
4/4/2022,17-0118,,,,
4/5/2022,17-0163,,,,
4/7/2022,16-0216,,,,
4/13/2022,17-0148,,,,
4/13/2022,20-0085,,,,
4/14/2022,21-0007,,,,
4/14/2022,21-0021,,,,
4/14/2022,21-0009,,,,
4/14/2022,14-0009,,,,
4/15/2022,18-0008,,,,
4/20/2022,17-0112,,,,
4/22/2022,17-0195,,,,
4/25/2022,18-0148,,,,
4/25/2022,19-0187,,,,
4/27/2022,17-0156,,,,
4/28/2022,18-0132,,,,
4/29/2022,20-0022,,,,
5/3/2022,21-0017,,,,
5/9/2022,19-0090,,,,
5/10/2022,16-0163,,,,
5/11/2022,20-0030,,,,
5/11/2022,21-0003,,,,
5/12/2022,TPR 18-0002,,,,
5/23/2022,21-0071,,,,
